,images,Text,confidenceOCR
342,images/Cropped Image786.jpg,SEAHAKE,0.999287613900629
343,images/Cropped Image788.jpg,SEAHAKE,0.9996544845984144
344,images/Cropped Image787.jpg,KE,0.8533082701905336
345,images/Cropped Image792.jpg,FLEETWOOd,0.1559382242005984
346,images/Cropped Image792.jpg,mariner,0.45705977047590274
347,images/Cropped Image792.jpg,iuard,0.11838233161931176
348,images/Cropped Image794.jpg,00p,0.3632038902465278
349,images/Cropped Image794.jpg,Tariner,0.33785993123625624
350,images/Cropped Image799.jpg,FLEETWOOD,0.7071450892931703
351,images/Cropped Image799.jpg,Iard,0.21379631757736206
352,images/Cropped Image799.jpg,mariner,0.33075664056918563
353,images/Cropped Image800.jpg,YASMINE ,0.4563276235531741
354,images/Cropped Image800.jpg,W,0.49463046972747193
355,images/Cropped Image802.jpg,IRONMEN:,0.5614551956905255
356,images/Cropped Image802.jpg,ASTRA PERSEUS,0.8323202775948276
357,images/Cropped Image803.jpg,ASTRA PERSEUS,0.93522811442092
358,images/Cropped Image804.jpg,VIRONMENT,0.981566050973648
359,images/Cropped Image806.jpg,Trafexpress,0.9998737990489491
360,images/Cropped Image806.jpg,TRANSFENNCA,0.9738243490921021
361,images/Cropped Image807.jpg,NO SMOKING,0.5891992426077383
362,images/Cropped Image807.jpg,BIT ECO,0.9990743483500201
363,images/Cropped Image808.jpg,NO SMOKING,0.5621498116058288
364,images/Cropped Image809.jpg,BIT ECO,0.9991105376168039
365,images/Cropped Image811.jpg,SAFETY,0.9491234771846705
366,images/Cropped Image811.jpg,FiRST,0.6620105238686236
367,images/Cropped Image811.jpg,95577 10,0.3507114763435086
368,images/Cropped Image811.jpg,MS CHARH,0.6489519541829835
369,images/Cropped Image812.jpg,BAFETY,0.9614241662228887
370,images/Cropped Image812.jpg,First,0.6641401260836233
371,images/Cropped Image812.jpg,MS CHARH,0.6921908256054831
372,images/Cropped Image813.jpg,MS CHARH,0.633394098313095
373,images/Cropped Image814.jpg,SAFETY,0.9027643428072063
374,images/Cropped Image814.jpg,FiRST,0.4296807217230286
375,images/Cropped Image814.jpg,9557710,0.5037121132017969
376,images/Cropped Image815.jpg,WR,0.4034425005513545
377,images/Cropped Image815.jpg,Ka),0.3082648900884095
378,images/Cropped Image815.jpg,R,0.12906354542941845
379,images/Cropped Image815.jpg,W(,0.6917916851506094
380,images/Cropped Image815.jpg,W,0.15667386700626196
381,images/Cropped Image815.jpg,HHHBURg SUD,0.19223844929011422
382,images/Cropped Image816.jpg,WR,0.41766029657312387
383,images/Cropped Image816.jpg,WR,0.12915313009454255
384,images/Cropped Image816.jpg,WE,0.11102526805050496
385,images/Cropped Image816.jpg,Ma},0.2104558815117207
386,images/Cropped Image816.jpg,8,0.2563840255174945
387,images/Cropped Image816.jpg,W(,0.6994641075427606
388,images/Cropped Image816.jpg,WS,0.10498081899216445
389,images/Cropped Image816.jpg,R,0.11579678381800651
390,images/Cropped Image816.jpg,WET,0.2289795164802604
391,images/Cropped Image816.jpg,POLAr Colons,0.27063575644822047
392,images/Cropped Image816.jpg,HHbuRg SUD,0.2597184532462929
393,images/Cropped Image818.jpg,BAKi,0.5028007626533508
394,images/Cropped Image819.jpg,BAKi,0.4931812584400177
395,images/Cropped Image821.jpg,SCELVERINGHE,0.9801381800982701
396,images/Cropped Image821.jpg,YER SEKE,0.9405436059165524
397,images/Cropped Image832.jpg,GLOVIS,0.953284255109676
398,images/Cropped Image835.jpg,HHHHHH ,0.24774236223729215
399,images/Cropped Image841.jpg,GRIMaldi Lnes,0.22332700282254866
400,images/Cropped Image846.jpg,cma cGM,0.3216141519783384
401,images/Cropped Image847.jpg,cha CGM,0.35266758739756304
402,images/Cropped Image848.jpg,PILOTS,0.39945519797450413
403,images/Cropped Image848.jpg,LEADER,0.9987334072876033
404,images/Cropped Image849.jpg,KONSTANTiNOS M,0.5838798315023229
405,images/Cropped Image850.jpg,KONSTANTiNOS M,0.5390503335568141
406,images/Cropped Image852.jpg,KONSTANTiNOS M,0.45469353070444934
407,images/Cropped Image854.jpg,WIDE CHARLIE,0.8953169703544174
408,images/Cropped Image856.jpg,H),0.13335701291194643
409,images/Cropped Image856.jpg,WFC,0.1085859254564171
410,images/Cropped Image856.jpg,Wvek,0.15066906809806824
411,images/Cropped Image856.jpg,KWc,0.14959838283036264
412,images/Cropped Image856.jpg,WEC,0.5408949206673369
413,images/Cropped Image856.jpg,WE,0.2649873786325921
414,images/Cropped Image856.jpg,WR(,0.1476882785775727
415,images/Cropped Image856.jpg,WEC,0.7082068714650191
416,images/Cropped Image856.jpg,Robiz,0.14927143006705368
417,images/Cropped Image857.jpg,IR,0.22136399666213186
418,images/Cropped Image857.jpg,Wa),0.11493169031718724
419,images/Cropped Image857.jpg,K),0.1249164163711929
420,images/Cropped Image857.jpg,1,0.19678894421764426
421,images/Cropped Image857.jpg,Ae,0.41841832302819515
422,images/Cropped Image857.jpg,WR,0.27989124007291066
423,images/Cropped Image857.jpg,WF,0.17852674721952175
424,images/Cropped Image857.jpg,VE,0.19282822031304347
425,images/Cropped Image857.jpg,W,0.36601716186428135
426,images/Cropped Image857.jpg,WF(,0.39361068422633255
427,images/Cropped Image857.jpg,Ws,0.15427220594008245
428,images/Cropped Image857.jpg,Robiz,0.18625892257107945
429,images/Cropped Image858.jpg,MR,0.1246937030333693
430,images/Cropped Image858.jpg,Ha',0.13158603356933868
431,images/Cropped Image858.jpg,WR,0.2582612464514314
432,images/Cropped Image858.jpg,WE,0.12514020911769771
433,images/Cropped Image858.jpg,Qe,0.14042871306305213
434,images/Cropped Image858.jpg,WF,0.1884911314198533
435,images/Cropped Image858.jpg,#,0.5003219523246258
436,images/Cropped Image858.jpg,WEC,0.27415781244915527
437,images/Cropped Image858.jpg,WRC,0.4612937253264416
438,images/Cropped Image858.jpg,4,0.12175029477699528
439,images/Cropped Image859.jpg,Robkz,0.1509874522267697
440,images/Cropped Image860.jpg,WEC,0.7210032692474551
